ID,FinalHeight,Flower,FlowerDate,Capsule Count,POP,ML,BLK,Row,ConsumedBefore,Consumption_,Consumption,ID,Capitate,Single,Branched,Peltate,Length,FinalHeight,Seed Count,TRT,TAGID,Height1,Leaf1,Leaf2,HerbDamage1,PerDamage1,Height3,Leaf3,HerbDamage2,PerDamage2,Environment
280,61,0,,3,8,59,1,3,0.004666667,0,0.004666667,280,NA,NA,NA,NA,NA,61,120,0,T3_B1_59,8.7,5,5,NA,NA,20,6,NA,NA,1
305,121,31,4-Aug,42,8,59,2,4,0.004666667,0,0.004666667,305,NA,NA,NA,NA,NA,121,1680,0,T2_B1_23,16.8,5,7,NA,NA,50.3,10,NA,NA,1
367,126,27,1-Aug,125,8,59,2,4,0.004666667,0,0.004666667,367,NA,NA,NA,NA,NA,126,5000,0,T3_B2_59,11.8,7,10,NA,NA,60.3,10,NA,NA,1
374,99,5,8-Aug,70,8,59,2,4,0.004666667,0,0.004666667,374,NA,NA,NA,NA,NA,99,2800,0,T3_B2_59,9,5,7,NA,NA,40.2,9,NA,NA,1
495,91,3,3-Aug,,8,59,2,5,0.004666667,0,0.004,495,NA,NA,NA,NA,NA,91,89,0,T3_B2_59,,,,NA,NA,51,9,NA,NA,1
570,120,0,,0,8,59,2,6,0.004666667,0.047166667,6.313,570,NA,NA,NA,NA,NA,120,0,0,T1_B2_59,,,9,NA,NA,46,9,NA,NA,1
729,95,12,6-Aug,19,8,59,3,8,0.004666667,0.004666667,0,729,NA,NA,NA,NA,NA,95,760,0,T2_B3_59,,,6,NA,NA,44,8,NA,NA,1
879,37,,29-Aug,2,8,59,3,9,0.004666667,0,0.0195,879,NA,NA,NA,NA,NA,37,80,0,T1_B3_23,7,5,5,NA,NA,16,6,NA,NA,1
910,92,,19-Aug,78,8,59,3,10,0.004666667,0,0.034625,910,NA,NA,NA,NA,NA,92,3120,0,T2_B3_23,17,6,9,NA,NA,42,10,NA,NA,1
915,151,,6-Aug,176,8,59,3,10,0.004666667,0,0.001333333,915,NA,NA,NA,NA,NA,151,7040,0,T2_B3_59,31.5,7,9,NA,NA,69,14,NA,NA,1
937,119,,6-Aug,112,8,59,3,10,0.004666667,0,0.056666667,937,NA,NA,NA,NA,NA,119,4480,0,T3_B3_59,18.7,6,9,NA,NA,53.4,10,NA,NA,1
971,106,,23-Aug,97,8,59,3,10,0.004666667,0,0.049555556,971,NA,NA,NA,NA,NA,106,3880,0,T2_B3_59,19.6,7,7,NA,NA,34,9,NA,NA,1
336,153,11,8-Aug,,8,63,2,4,0.071833333,0.071833333,0.071833333,336,6,83,51,10,21679.767,153,1131,0,T3_B1_63,20.3,7,9,NA,NA,70,19,NA,NA,1
866,149,,6-Aug,131,8,63,3,9,0.071833333,0.06,0.082333333,866,10,61,64,10,30529.689,149,5240,0,T1_B3_63,19,9,9,NA,NA,68,10,NA,NA,1
681,110,3,11-Aug,33,8,63,2,7,0.071833333,0.083,0.034625,681,16,27,57,6,22844.113,110,1320,0,T3_B2_63,,,7,NA,NA,52,8,NA,NA,1
75,95,3,12-Aug,9,8,63,1,1,0.071833333,0,0.071833333,75,NA,NA,NA,NA,NA,95,360,0,T2_B1_63,,,8,NA,NA,36.6,9,NA,NA,1
157,124,3,10-Aug,16,8,63,1,2,0.071833333,0,0.071833333,157,NA,NA,NA,NA,NA,124,640,0,T1_B1_63,18,6,7,NA,NA,48.6,8,NA,NA,1
236,169,7,3-Aug,57,8,63,1,3,0.071833333,0,0.081833333,236,NA,NA,NA,NA,NA,169,2280,0,T2_B1_63,24.5,11,19,NA,NA,60.3,21,NA,NA,1
264,139,9,4-Aug,30,8,63,1,3,0.071833333,0,0.071833333,264,NA,NA,NA,NA,NA,139,1200,0,T2_B1_63,25,4,8,NA,NA,60.3,13,NA,NA,1
307,100,1,15-Aug,13,8,63,2,4,0.071833333,0,0.071833333,307,NA,NA,NA,NA,NA,100,520,0,T2_B1_63,12.9,5,6,NA,NA,30,9,NA,NA,1
309,156,7,8-Aug,44,8,63,2,4,0.071833333,0,0.071833333,309,NA,NA,NA,NA,NA,156,1760,0,T2_B1_63,21.6,6,9,NA,NA,60,15,NA,NA,1
476,143,3,11-Aug,,8,63,2,5,0.071833333,0,0.004,476,NA,NA,NA,NA,NA,143,1380,0,T3_B2_63,,,,NA,NA,45.3,10,NA,NA,1
561,173,13,7-Aug,135,8,63,2,6,0.071833333,0,0.1485,561,NA,NA,NA,NA,NA,173,5400,0,T1_B2_63,,,10,NA,NA,64.2,19,NA,NA,1
